Table 1
id,acct_code_set_description,company,ref_number,date,vendor_employee,FF2,standardized_reclamation_cost_estimator,item_description,amount
6,2790_1505 INT METRO POLICE STATION,001,1132 ,03/30/11,AMERICAN EXPRESS,LP,AX,SWOOPER CHAIR_DKI FURNITURE,340.00 
7,2790_1505 INT METRO POLICE STATION,001,1132 ,03/30/11,AMERICAN EXPRESS,TAX,AX,SWOOPER CHAIR_DKI FURNITURE,29.75 
8,2790_1505 INT METRO POLICE STATION,001,1132 ,03/30/11,AMERICAN EXPRESS,LP,AX,EXEC H/B CHAIR_DKI FURNITURE,599.00 
9,2790_1505 INT METRO POLICE STATION,001,1132 ,03/30/11,AMERICAN EXPRESS,TAX,AX,EXEC H/B CHAIR_DKI FURNITURE,52.42 
10,2790_1505 INT METRO POLICE STATION,001,1132 ,03/30/11,AMERICAN EXPRESS,LP,AX,15 DESK LAMPS_DKI FURNITURE,1380.00
11,2790_1505 INT METRO POLICE STATION,001,1132 ,03/30/11,AMERICAN EXPRESS,TAX,AX,15 DESK LAMPS_DKI FURNITURE,120.75 
12,2790_1505 INT METRO POLICE STATION,001,2020 ,04/11/11,COMMERCIAL SERVICES INC,LP,AP,6X LATERAL FILE CBNTS,1500.00
13,2790_1505 INT METRO POLICE STATION,001,2020 ,04/11/11,COMMERCIAL SERVICES INC,TAX,AP,6X LATERAL FILE CBNTS,135.00 
14,2790_1505 INT METRO POLICE STATION,001,2020 ,04/11/11,COMMERCIAL SERVICES INC,LP,AP,SOFA SET,200.00 
15,2790_1505 INT METRO POLICE STATION,001,2020 ,04/11/11,COMMERCIAL SERVICES INC,TAX,AP,SOFA SET,18.00 
16,2790_1505 INT METRO POLICE STATION,001,2020 ,04/11/11,COMMERCIAL SERVICES INC,LP,AP,4X WOOD RECESSED DESKS,400.00 
17,2790_1505 INT METRO POLICE STATION,001,2020 ,04/11/11,COMMERCIAL SERVICES INC,TAX,AP,4X WOOD RECESSED DESKS,36.00 
18,2790_1505 INT METRO POLICE STATION,001,2020 ,04/11/11,COMMERCIAL SERVICES INC,LP,AP,2X CREDENZAS,200.00 
19,2790_1505 INT METRO POLICE STATION,001,2020 ,04/11/11,COMMERCIAL SERVICES INC,TAX,AP,2X CREDENZAS,18.00 
20,2790_1505 INT METRO POLICE STATION,001,2020 ,04/11/11,COMMERCIAL SERVICES INC,LP,AP,GAME TABLE,100.00 
21,2790_1505 INT METRO POLICE STATION,001,2020 ,04/11/11,COMMERCIAL SERVICES INC,TAX,AP,GAME TABLE,9.00 
22,2790_1505 INT METRO POLICE STATION,001,2020 ,04/11/11,COMMERCIAL SERVICES INC,LP,AP,PING PONG TABLE,200.00 
23,2790_1505 INT METRO POLICE STATION,001,2020 ,04/11/11,COMMERCIAL SERVICES INC,TAX,AP,PING PONG TABLE,18.00 
24,2790_1505 INT METRO POLICE STATION,001,2020 ,04/11/11,COMMERCIAL SERVICES INC,LP,AP,STATE DESK 36X72,100.00 
25,2790_1505 INT METRO POLICE STATION,001,2020 ,04/11/11,COMMERCIAL SERVICES INC,TAX,AP,STATE DESK 36X72,9.00 
26,2790_1505 INT METRO POLICE STATION,001,3140 ,04/21/11,AMERICAN SCREEN & WINDOW,XX,AP,3X ALABASTER MINI BLINDS 57X72,540.00 
27,2790_1505 INT METRO POLICE STATION,001,3140 ,04/21/11,AMERICAN SCREEN & WINDOW,XX,AP,ALABASTER MINI BLINDS 44.5X72,145.00 
28,2790_1505 INT METRO POLICE STATION,001,3140 ,04/21/11,AMERICAN SCREEN & WINDOW,XX,AP,8X 1 MINI BLIND ALMOND 36X69,1016.00 
29,2790_1505 INT METRO POLICE STATION,001,3140 ,04/21/11,AMERICAN SCREEN & WINDOW,XX,AP,2X 1 MINI BLIND ALMOND 18X69,190.00 
30,2790_1505 INT METRO POLICE STATION,001,3140 ,04/21/11,AMERICAN SCREEN & WINDOW,XX,AP,1 MINI BLIND ALMOND 25.5X69,100.00 
31,2790_1505 INT METRO POLICE STATION,001,3140 ,04/21/11,AMERICAN SCREEN & WINDOW,XX,AP,1 MINI BLIND ALMOND 22.25X69,95.00 
32,2790_1505 INT METRO POLICE STATION,001,3320 ,04/28/11,SMITHnCARYN,LP,PCV,FRIDGE BRIDGE HOUSE,199.97 
33,2790_1505 INT METRO POLICE STATION,001,3320 ,04/28/11,SMITHnCARYN,TAX,PCV,FRIDGE BRIDGE HOUSE,17.50 
34,2790_1505 INT METRO POLICE STATION,001,3552 ,04/28/11,AMERICAN EXPRESS,XX,AX,GETTY IMAGE_PORTRAIT SENIOR MA,350.00 
35,2790_1505 INT METRO POLICE STATION,001,3630 ,04/28/11,AMERICAN EXPRESS,LP,AX,DUMBBELL SET_SPORTS AUTHORITY,349.99 
36,2790_1505 INT METRO POLICE STATION,001,3630 ,04/28/11,AMERICAN EXPRESS,TAX,AX,DUMBBELL SET_SPORTS AUTHORITY,30.62 
37,2790_1505 INT METRO POLICE STATION,001,4338 ,05/05/11,AMERICAN SCREEN & WINDOW,XX,AP,2X MINI BLINDS,240.00 
38,2790_1505 INT METRO POLICE STATION,001,5025 ,05/10/11,AMERICAN EXPRESS,XX,AX,EAGLE/AMER FLAG STATUE,114.34 
39,2790_1505 INT METRO POLICE STATION,001,5919 ,05/12/11,AMERICAN EXPRESS,LP,AX,10X 19 LG LCD DISPLAYS_BESTBU,1668.30 
40,2790_1505 INT METRO POLICE STATION,001,5919 ,05/12/11,AMERICAN EXPRESS,TAX,AX,10X 19 LG LCD DISPLAYS_BESTBU,150.15 
50,2790_1506 EXT METRO POLICE STATION,001,1754 ,04/07/11,SMITHnRICHARD B.,LP,PCV,2X FLAGPOLE BRAD&DELLWN,359.98 
51,2790_1506 EXT METRO POLICE STATION,001,1754 ,04/07/11,SMITHnRICHARD B.,TAX,PCV,2X FLAGPOLE BRAD&DELLWN,32.40 
52,2790_1506 EXT METRO POLICE STATION,001,4392 ,05/05/11,GRAINGER,LP,AP,WET LOCATION FIXTURE GRAINGER,120.15 
53,2790_1506 EXT METRO POLICE STATION,001,4392 ,05/05/11,GRAINGER,TAX,AP,WET LOCATION FIXTURE GRAINGER,10.82 
54,2790_1506 EXT METRO POLICE STATION,001,4393 ,05/05/11,GRAINGER,LP,AP,6X WET LOCATION FIXTURES GRNGR,720.90 
55,2790_1506 EXT METRO POLICE STATION,001,4393 ,05/05/11,GRAINGER,TAX,AP,6X WET LOCATION FIXTURES GRNGR,64.89 
