Table 1
id,acct_code_set_description,company,ref_number,date,vendor_employee,FF2,standardized_reclamation_cost_estimator,item_description,amount
335,2790_1520 INT MOLLYINCHS ROOM,001,6007 ,05/12/11,AMERICAN EXPRESS,LP,AX,WOOD CHEST OF DRAWERS_COMPASS,225.00 
336,2790_1520 INT MOLLYINCHS ROOM,001,6007 ,05/12/11,AMERICAN EXPRESS,TAX,AX,WOOD CHEST OF DRAWERS_COMPASS,19.69 
337,2790_1520 INT MOLLYINCHS ROOM,001,6007 ,05/12/11,AMERICAN EXPRESS,LP,AX,SLATED WOOD HEAD/FOOTBRD_COMPA,190.00 
338,2790_1520 INT MOLLYINCHS ROOM,001,6007 ,05/12/11,AMERICAN EXPRESS,TAX,AX,SLATED WOOD HEAD/FOOTBRD_COMPA,16.63 
339,2790_1520 INT MOLLYINCHS ROOM,001,6007 ,05/12/11,AMERICAN EXPRESS,LP,AX,LAMP_SAILBOAT_COMPASS,95.00 
340,2790_1520 INT MOLLYINCHS ROOM,001,6007 ,05/12/11,AMERICAN EXPRESS,TAX,AX,LAMP_SAILBOAT_COMPASS,8.31 
341,2790_1520 INT MOLLYINCHS ROOM,001,6007 ,05/12/11,AMERICAN EXPRESS,LP,AX,LAMP/TOY/CLOTHES RACK,124.00 
342,2790_1520 INT MOLLYINCHS ROOM,001,6007 ,05/12/11,AMERICAN EXPRESS,TAX,AX,LAMP/TOY/CLOTHES RACK,11.39 
343,2790_1520 INT MOLLYINCHS ROOM,001,7781 ,05/24/11,AMERICAN EXPRESS,LP,AX,3INCH SQUARE MODRN ART_REN INTERI,95.00 
344,2790_1520 INT MOLLYINCHS ROOM,001,7781 ,05/24/11,AMERICAN EXPRESS,TAX,AX,3INCH SQUARE MODRN ART_REN INTERI,8.31 
345,2790_1520 INT MOLLYINCHS ROOM,001,7782 ,05/24/11,AMERICAN EXPRESS,LP,AX,VINTAGE STRAW HAT_REN INTERIOR,395.00 
346,2790_1520 INT MOLLYINCHS ROOM,001,7782 ,05/24/11,AMERICAN EXPRESS,TAX,AX,VINTAGE STRAW HAT_REN INTERIOR,34.56 
347,2790_1520 INT MOLLYINCHS ROOM,001,7782 ,05/24/11,AMERICAN EXPRESS,LP,AX,ITALIAN BOWL_REN INTERIORS,375.00 
348,2790_1520 INT MOLLYINCHS ROOM,001,7782 ,05/24/11,AMERICAN EXPRESS,TAX,AX,ITALIAN BOWL_REN INTERIORS,32.81 
349,2790_1520 INT MOLLYINCHS ROOM,001,9977 ,06/02/11,SMITHnROBERT J.,LP,PCV,CD ED SHARPE&MAG ZERO_B.BUY,12.99 
350,2790_1520 INT MOLLYINCHS ROOM,001,9977 ,06/02/11,SMITHnROBERT J.,TAX,PCV,CD ED SHARPE&MAG ZERO_B.BUY,1.14 
351,2790_1520 INT MOLLYINCHS ROOM,001,9977 ,06/02/11,SMITHnROBERT J.,LP,PCV,SHELF SALV ARMY,99.99 
352,2790_1520 INT MOLLYINCHS ROOM,001,9977 ,06/02/11,SMITHnROBERT J.,TAX,PCV,SHELF SALV ARMY,8.75 
353,2790_1520 INT MOLLYINCHS ROOM,001,10350 ,06/08/11,AMERICAN EXPRESS,LP,AX,SONIC CARE TOOTHBRUSH_BB&B,139.99 
354,2790_1520 INT MOLLYINCHS ROOM,001,10350 ,06/08/11,AMERICAN EXPRESS,TAX,AX,SONIC CARE TOOTHBRUSH_BB&B,12.25 
355,2790_1520 INT MOLLYINCHS ROOM,001,10350 ,06/08/11,AMERICAN EXPRESS,LP,AX,QN COMFORTER_BB&B,139.99 
356,2790_1520 INT MOLLYINCHS ROOM,001,10350 ,06/08/11,AMERICAN EXPRESS,TAX,AX,QN COMFORTER_BB&B,12.25 
357,2790_1520 INT MOLLYINCHS ROOM,001,10354 ,06/08/11,AMERICAN EXPRESS,LP,AX,SM BRN SIDE TBL_PIER 1,99.98 
358,2790_1520 INT MOLLYINCHS ROOM,001,10354 ,06/08/11,AMERICAN EXPRESS,TAX,AX,SM BRN SIDE TBL_PIER 1,8.75 
359,2790_1520 INT MOLLYINCHS ROOM,001,10354 ,06/08/11,AMERICAN EXPRESS,LP,AX,BRN RND OCCASIONAL TBL_PIER 1,129.95 
360,2790_1520 INT MOLLYINCHS ROOM,001,10354 ,06/08/11,AMERICAN EXPRESS,TAX,AX,BRN RND OCCASIONAL TBL_PIER 1,11.37 
361,2790_1520 INT MOLLYINCHS ROOM,001,10356 ,06/08/11,AMERICAN EXPRESS,LP,AX,BLK/WHT ACCENT CHR_OFFICEMAX,99.99 
362,2790_1520 INT MOLLYINCHS ROOM,001,10356 ,06/08/11,AMERICAN EXPRESS,TAX,AX,BLK/WHT ACCENT CHR_OFFICEMAX,8.75 
