Table 1
id,acct_code_set_description,company,ref_number,date,vendor_employee,FF2,standardized_reclamation_cost_estimator,item_description,amount
331,2790_1518 INT J & S BATHROOM (STG),001,7779 ,05/24/11,AMERICAN EXPRESS,LP,AX,SONICARE TOOTHBRUSH_TARGET,129.99 
332,2790_1518 INT J & S BATHROOM (STG),001,7779 ,05/24/11,AMERICAN EXPRESS,TAX,AX,SONICARE TOOTHBRUSH_TARGET,11.37 
333,2790_1518 INT J & S BATHROOM (STG),001,7779 ,05/24/11,AMERICAN EXPRESS,LP,AX,NINJA BLENDER_TARGET,99.99 
334,2790_1518 INT J & S BATHROOM (STG),001,7779 ,05/24/11,AMERICAN EXPRESS,TAX,AX,NINJA BLENDER_TARGET,8.75 
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
