Table 1
id,acct_code_set_description,company,ref_number,date,vendor_employee,FF2,standardized_reclamation_cost_estimator,item_description,amount
4,2790_1502 EXT CITY PARK,001,9970 ,06/02/11,SMITHnCARYN,LP,PCV,6X FLAGS,599.94 
5,2790_1502 EXT CITY PARK,001,9970 ,06/02/11,SMITHnCARYN,TAX,PCV,6X FLAGS,53.99 
56,2790_1509 EXT JUMP STREET CHAPEL,001,3617 ,04/28/11,AMERICAN EXPRESS,LP,AX,VOTIVE STATUE OF MARY_ANTIQUE,296.25 
57,2790_1509 EXT JUMP STREET CHAPEL,001,3617 ,04/28/11,AMERICAN EXPRESS,TAX,AX,VOTIVE STATUE OF MARY_ANTIQUE,26.66 
58,2790_1510 INT JUMP STREET CHAPEL,001,1042 ,03/30/11,SMITHnROBERT J.,LP,PCV,STNDNG JESUS STATUE CIRCA 1857,125.00 
59,2790_1510 INT JUMP STREET CHAPEL,001,1042 ,03/30/11,SMITHnROBERT J.,TAX,PCV,STNDNG JESUS STATUE CIRCA 1857,11.25 
60,2790_1510 INT JUMP STREET CHAPEL,001,1051 ,03/30/11,RENAISSANCE INTERIORS LLC,LP,AP,ORIENTAL WOODEN CONSOLE,125.00 
61,2790_1510 INT JUMP STREET CHAPEL,001,1051 ,03/30/11,RENAISSANCE INTERIORS LLC,TAX,AP,ORIENTAL WOODEN CONSOLE,10.94 
62,2790_1510 INT JUMP STREET CHAPEL,001,1051 ,03/30/11,RENAISSANCE INTERIORS LLC,LP,AP,ITALIAN ARM CHAIR,175.00 
63,2790_1510 INT JUMP STREET CHAPEL,001,1051 ,03/30/11,RENAISSANCE INTERIORS LLC,TAX,AP,ITALIAN ARM CHAIR,15.31 
64,2790_1510 INT JUMP STREET CHAPEL,001,1051 ,03/30/11,RENAISSANCE INTERIORS LLC,LP,AP,VNTGE 46TALL GLASS LIGHT,140.00 
65,2790_1510 INT JUMP STREET CHAPEL,001,1051 ,03/30/11,RENAISSANCE INTERIORS LLC,TAX,AP,VNTGE 46TALL GLASS LIGHT,12.25 
66,2790_1510 INT JUMP STREET CHAPEL,001,1051 ,03/30/11,RENAISSANCE INTERIORS LLC,LP,AP,OCTAGONAL SDE TBLE W/PLNK TOP,365.00 
67,2790_1510 INT JUMP STREET CHAPEL,001,1051 ,03/30/11,RENAISSANCE INTERIORS LLC,TAX,AP,OCTAGONAL SDE TBLE W/PLNK TOP,31.94 
68,2790_1510 INT JUMP STREET CHAPEL,001,1884 ,04/07/11,AMERICAN EXPRESS,LP,AX,ASIAN SWING LIGHT_NEOPHOBIA,355.00 
69,2790_1510 INT JUMP STREET CHAPEL,001,1884 ,04/07/11,AMERICAN EXPRESS,TAX,AX,ASIAN SWING LIGHT_NEOPHOBIA,31.95 
70,2790_1510 INT JUMP STREET CHAPEL,001,1884 ,04/07/11,AMERICAN EXPRESS,LP,AX,DRACALINO LAMP_NEOPHOBIA,400.00 
71,2790_1510 INT JUMP STREET CHAPEL,001,1884 ,04/07/11,AMERICAN EXPRESS,TAX,AX,DRACALINO LAMP_NEOPHOBIA,36.00 
72,2790_1510 INT JUMP STREET CHAPEL,001,3169 ,04/27/11,CAMERON JONES INC,LP,AP,CINEMA LAMP_CAMERON JONES,254.15 
73,2790_1510 INT JUMP STREET CHAPEL,001,3169 ,04/27/11,CAMERON JONES INC,TAX,AP,CINEMA LAMP_CAMERON JONES,22.87 
74,2790_1510 INT JUMP STREET CHAPEL,001,3169 ,04/27/11,CAMERON JONES INC,LP,AP,TAYLOR BAR TABLE_CAMERON JONES,463.25 
75,2790_1510 INT JUMP STREET CHAPEL,001,3169 ,04/27/11,CAMERON JONES INC,TAX,AP,TAYLOR BAR TABLE_CAMERON JONES,41.69 
76,2790_1510 INT JUMP STREET CHAPEL,001,3169 ,04/27/11,CAMERON JONES INC,LP,AP,WISHBONE TBLE LAMP_CAMERN JNES,165.75 
77,2790_1510 INT JUMP STREET CHAPEL,001,3169 ,04/27/11,CAMERON JONES INC,TAX,AP,WISHBONE TBLE LAMP_CAMERN JNES,14.92 
78,2790_1510 INT JUMP STREET CHAPEL,001,3169 ,04/27/11,CAMERON JONES INC,LP,AP,JAM CNTRSTOOL_CAMERON JONES,301.75 
79,2790_1510 INT JUMP STREET CHAPEL,001,3169 ,04/27/11,CAMERON JONES INC,TAX,AP,JAM CNTRSTOOL_CAMERON JONES,27.16 
